     Steps      Time  Center temperature
        1056      844.80   41.288175
        1057      845.60   41.308852
        1058      846.40   41.329531
        1059      847.20   41.350212
        1060      848.00   41.370894
        1061      848.80   41.391577
        1062      849.60   41.412262
        1063      850.40   41.432948
        1064      851.20   41.453636
        1065      852.00   41.474325
        1066      852.80   41.495016
        1067      853.60   41.515709
        1068      854.40   41.536402
        1069      855.20   41.557098
        1070      856.00   41.577795
        1071      856.80   41.598493
        1072      857.60   41.619193
        1073      858.40   41.639894
        1074      859.20   41.660596
        1075      860.00   41.681301
        1076      860.80   41.702006
        1077      861.60   41.722713
        1078      862.40   41.743422
        1079      863.20   41.764132
        1080      864.00   41.784844
        1081      864.80   41.805557
        1082      865.60   41.826271
        1083      866.40   41.846987
        1084      867.20   41.867705
        1085      868.00   41.888424
        1086      868.80   41.909144
        1087      869.60   41.929866
        1088      870.40   41.950590
        1089      871.20   41.971314
        1090      872.00   41.992041
        1091      872.80   42.012769
        1092      873.60   42.033498
        1093      874.40   42.054229
        1094      875.20   42.074961
        1095      876.00   42.095694
        1096      876.80   42.116430
        1097      877.60   42.137166
        1098      878.40   42.157904
        1099      879.20   42.178644
        1100      880.00   42.199385
        1101      880.80   42.220127
        1102      881.60   42.240871
        1103      882.40   42.261616
        1104      883.20   42.282363
        1105      884.00   42.303111
        1106      884.80   42.323861
        1107      885.60   42.344612
        1108      886.40   42.365365
        1109      887.20   42.386119
        1110      888.00   42.406874
        1111      888.80   42.427631
        1112      889.60   42.448390
        1113      890.40   42.469150
        1114      891.20   42.489911
        1115      892.00   42.510674
        1116      892.80   42.531438
        1117      893.60   42.552204
        1118      894.40   42.572971
        1119      895.20   42.593739
        1120      896.00   42.614509
        1121      896.80   42.635281
        1122      897.60   42.656053
        1123      898.40   42.676828
        1124      899.20   42.697603
        1125      900.00   42.718381
        1126      900.80   42.739159
        1127      901.60   42.759939
        1128      902.40   42.780721
        1129      903.20   42.801504
        1130      904.00   42.822288
        1131      904.80   42.843074
        1132      905.60   42.863861
        1133      906.40   42.884650
        1134      907.20   42.905440
        1135      908.00   42.926231
        1136      908.80   42.947024
        1137      909.60   42.967818
        1138      910.40   42.988614
        1139      911.20   43.009411
        1140      912.00   43.030210
        1141      912.80   43.051010
        1142      913.60   43.071811
        1143      914.40   43.092614
        1144      915.20   43.113418
        1145      916.00   43.134224
        1146      916.80   43.155031
        1147      917.60   43.175839
        1148      918.40   43.196649
        1149      919.20   43.217461
