         x    flux_1    flux_2    flux_3    flux_4
   23.167861   17.658795   21.670172   24.821941   24.807986
   23.233866   17.635690   21.650606   24.810871   24.803656
   23.299872   17.612555   21.631000   24.799758   24.799284
   23.365877   17.589392   21.611355   24.788602   24.794868
   23.431882   17.566200   21.591671   24.777403   24.790410
   23.497888   17.542979   21.571947   24.766161   24.785909
   23.563893   17.519729   21.552184   24.754876   24.781365
   23.629898   17.496450   21.532382   24.743549   24.776778
   23.695904   17.473142   21.512540   24.732178   24.772148
   23.761909   17.449806   21.492659   24.720764   24.767476
   23.827914   17.426440   21.472739   24.709307   24.762761
   23.893919   17.403046   21.452780   24.697807   24.758003
   23.959925   17.379624   21.432781   24.686265   24.753202
   24.025930   17.356173   21.412743   24.674679   24.748359
   24.091935   17.332693   21.392666   24.663051   24.743472
   24.157941   17.309185   21.372550   24.651380   24.738544
   24.223946   17.285649   21.352395   24.639666   24.733572
   24.289951   17.262084   21.332200   24.627909   24.728557
   24.355957   17.238490   21.311967   24.616109   24.723500
   24.421962   17.214869   21.291694   24.604267   24.718400
   24.487967   17.191219   21.271383   24.592382   24.713258
   24.553973   17.167541   21.251032   24.580454   24.708072
   24.619978   17.143835   21.230642   24.568484   24.702844
   24.685983   17.120101   21.210214   24.556470   24.697573
   24.751988   17.096339   21.189746   24.544414   24.692260
   24.817994   17.072548   21.169239   24.532316   24.686904
   24.883999   17.048730   21.148694   24.520174   24.681505
   24.950004   17.024884   21.128109   24.507991   24.676064
   25.016010   17.001010   21.107486   24.495764   24.670579
   25.082015   16.977109   21.086824   24.483495   24.665053
   25.148020   16.953179   21.066122   24.471183   24.659483
   25.214026   16.929222   21.045382   24.458829   24.653871
   25.280031   16.905237   21.024603   24.446432   24.648216
   25.346036   16.881225   21.003786   24.433993   24.642519
   25.412041   16.857185   20.982929   24.421511   24.636779
   25.478047   16.833118   20.962034   24.408987   24.630996
   25.544052   16.809023   20.941100   24.396420   24.625171
   25.610057   16.784901   20.920127   24.383810   24.619303
   25.676063   16.760751   20.899116   24.371159   24.613393
   25.742068   16.736574   20.878065   24.358464   24.607440
   25.808073   16.712370   20.856976   24.345728   24.601444
   25.874079   16.688139   20.835849   24.332949   24.595406
   25.940084   16.663881   20.814683   24.320128   24.589326
   26.006089   16.639595   20.793478   24.307264   24.583202
   26.072094   16.615283   20.772234   24.294358   24.577037
   26.138100   16.590943   20.750952   24.281410   24.570828
   26.204105   16.566577   20.729631   24.268419   24.564577
   26.270110   16.542184   20.708272   24.255386   24.558284
   26.336116   16.517764   20.686874   24.242311   24.551948
   26.402121   16.493317   20.665438   24.229194   24.545570
